"Sample_ID","Code","Sample_Date","Sample_Time","Gage_Ht","Temp","pH","Cond","Cl","NO3-N","SO4-S","Na","K","Mg","Ca","NH4-N","PO4-P","DOC","DIC","TDN","TDP","SiO2","DON","ChlorideCode","NitrateCode","SulfateCode","SodiumCode","PotassiumCode","MagnesiumCode","CalciumCode","NH4Code","PO4Code","DOCCode","DICCode","TDNCode","SiO2Code","DONCode","TSS"
"Q2",100013068,1987-12-07,1540,0.4,NA,7.15,45,4.3,208,0.66,3.39,0.75,1.09,2.4,15,NA,NA,NA,NA,NA,12.3,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",36.2
"Q2",100013069,1987-12-08,1050,0.51,NA,7.21,58.8,6.5,208,0.7,4.87,0.67,1.49,2.95,32,NA,NA,NA,NA,NA,19.7,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",91
"Q2",100013070,1987-12-15,1017,0.2,NA,7.52,70.3,6.9,NA,0.77,6.09,0.82,2.27,4.8,11,NA,NA,NA,NA,NA,26.1,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",15
"Q2",100013071,1987-12-22,840,0.18,NA,7.54,77.4,6.9,NA,0.88,6.4,0.82,2.35,4.75,11,NA,NA,NA,NA,NA,28.7,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",6.69
"Q2",100013072,1987-12-29,956,0.11,NA,7.55,81.6,6.7,253,0.88,7.34,0.78,2.58,5,19,NA,NA,NA,NA,NA,30.8,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",7.3
"Q2",100013073,1988-01-05,954,0.16,NA,7.55,82.6,7.5,255,0.88,7.32,0.77,2.57,5.01,18,NA,NA,NA,NA,NA,30.9,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",11
"Q2",100013074,1988-01-12,855,0.14,NA,7.39,80.6,6.4,233,0.91,7.29,0.77,2.54,5.27,11,NA,NA,NA,NA,NA,30.7,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",8.96
"Q2",100013075,1988-01-19,805,0.12,NA,7.46,81.3,6.6,221,NA,7.38,0.74,2.61,5.28,18,NA,NA,NA,NA,NA,30.5,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",7.77
"Q2",100013076,1988-01-26,903,0.09,NA,7.47,85.4,6.1,195,1.5,7.64,0.71,2.74,5.52,17,NA,NA,NA,NA,NA,32.6,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",6.69
"Q2",100013078,1988-01-29,NA,NA,NA,7.39,62.9,5.4,183,0.91,5.84,0.87,1.86,4.05,14,NA,NA,NA,NA,NA,19.9,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1645
"Q2",100013077,1988-01-29,NA,NA,NA,NA,NA,6.96,NA,0.94,5.88,0.84,1.94,4.07,41,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"Q2",100013079,1988-01-29,NA,NA,NA,7.45,60.1,5.3,268,NA,5.61,1.03,1.74,3.96,14,NA,NA,NA,NA,NA,17.7,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1574
"Q2",100013080,1988-01-29,NA,NA,NA,7.4,55.2,5.3,306,NA,5.17,1.12,1.59,3.66,12,NA,NA,NA,NA,NA,14.2,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",921
"Q2",100013081,1988-01-29,NA,NA,NA,7.32,52.9,5.2,333,0.79,4.94,1.1,1.5,3.45,12,NA,NA,NA,NA,NA,12.7,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",675
"Q2",100013083,1988-01-29,NA,NA,NA,7.3,53.1,5.1,364,NA,5.01,0.99,1.58,3.75,31,NA,NA,NA,NA,NA,13.5,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"Q2",100013082,1988-01-29,NA,NA,NA,7.3,51.4,5.3,331,0.63,4.93,0.98,1.53,3.54,23,NA,NA,NA,NA,NA,12.7,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",368
"Q2",100130771,1988-01-29,NA,NA,NA,7.4,64.3,7.34,NA,0.72,5.83,0.84,1.98,4.07,7,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",689
"Q2",100013084,1988-02-02,NA,NA,NA,6.78,62.9,5.6,153,NA,5.76,0.81,1.77,4.02,30,NA,NA,NA,NA,NA,16.7,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",54.4
"Q2",100013085,1988-02-02,1150,0.3,NA,6.9,58.5,5.6,223,NA,5.43,0.9,1.64,3.6,12,NA,NA,NA,NA,NA,14.6,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",99
"Q2",100013086,1988-02-03,1257,0.14,NA,6.96,NA,5.2,282,0.95,7.15,0.91,2.48,5.42,16,NA,NA,NA,NA,NA,27.4,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",17.6
"Q2",100013087,1988-02-04,827,NA,NA,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",7.52
"Q2",100013088,1988-02-09,905,0.12,NA,7.12,92.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",6
"Q2",100013089,1988-02-10,829,0.08,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.9
"Q2",100013090,1988-02-16,829,0.09,NA,7.15,94,7.5,31,0.96,7.08,0.64,2.45,4.51,19,NA,NA,NA,NA,NA,29.6,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",7.05
"Q2",100013091,1988-02-23,842,0.1,NA,7.11,94.6,7.6,231,1.13,6.93,0.82,2.73,5.15,19,NA,NA,NA,NA,NA,31.6,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",10.7
"Q2",100013092,1988-03-01,1011,0.08,NA,7.18,96.2,7.64,218,1.07,6.89,0.77,2.73,5.15,19,NA,NA,NA,NA,NA,31.6,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",15.7
"Q2",100013093,1988-03-08,NA,NA,NA,7.48,95.1,8.08,209,0.89,7.42,0.7,2.56,4.91,27,NA,NA,NA,NA,NA,32.4,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",6.33
"Q2",100013094,1988-03-15,830,0.06,NA,7.41,99.8,7.23,191,NA,7.37,0.72,2.62,4.9,27,NA,NA,NA,NA,NA,33.1,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.43
"Q2",100013095,1988-03-23,814,0.08,NA,7.29,NA,7.33,139,NA,7.56,0.82,1.35,1.73,9,NA,NA,NA,NA,NA,33.1,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.6
