"Sample_ID","Code","Sample_Date","Sample_Time","Gage_Ht","Temp","pH","Cond","Cl","NO3-N","SO4-S","Na","K","Mg","Ca","NH4-N","PO4-P","DOC","DIC","TDN","TDP","SiO2","DON","ChlorideCode","NitrateCode","SulfateCode","SodiumCode","PotassiumCode","MagnesiumCode","CalciumCode","NH4Code","PO4Code","DOCCode","DICCode","TDNCode","SiO2Code","DONCode","TSS"
"MG",22781000,1998-11-24,NA,NA,NA,NA,NA,11.62,394,1.31,7.06,1.1,2.4,9.46,18,18,2.1,NA,0.47,NA,19.06,0.06,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",22809000,1998-12-08,NA,NA,NA,NA,NA,11.33,315,1.38,8.13,1.08,2.81,9.91,12,11,1.01,NA,0.44,NA,21.77,0.12,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",23298000,1998-12-29,NA,NA,NA,NA,NA,8.89,664,1.1,6.32,1.2,1.85,6.87,111,19,2.4,NA,1.31,NA,12.36,0.54,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",23306000,1999-01-05,NA,NA,NA,NA,NA,11.34,201,1.36,8.63,1.1,7.7,12.24,76,12,0.99,NA,0.52,NA,23.86,0.24,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",23350000,1999-01-19,NA,NA,NA,NA,NA,11.34,293,1.34,8.6,1.19,7.07,11.06,32,20,1.39,NA,0.64,NA,22.41,0.31,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",23322000,1999-01-26,NA,NA,NA,NA,NA,NA,244,1.26,19.12,1.61,9.89,15.54,14,14,1.77,NA,0.48,NA,21.6,0.22,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",23271000,1999-02-23,NA,NA,NA,NA,NA,11.27,61,1.44,8.92,1.03,6.94,10.95,7,8,0.78,NA,0.28,NA,24.48,0.21,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",23269000,1999-03-02,NA,NA,NA,NA,NA,12.38,125,1.62,9.95,1.04,4.15,15.24,8,5,0.96,NA,0.21,NA,27.21,0.07,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",23592000,1999-03-09,NA,NA,NA,NA,NA,13.25,95,1.63,9.83,1.08,4.64,11.74,12,5,0.86,NA,0.22,NA,26.47,0.11,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",23573000,1999-03-23,NA,NA,NA,NA,NA,12.07,17,1.6,10.28,0.92,4.05,8.11,NA,NA,1.07,NA,0.11,NA,26.33,0.09,"NA","NA","NA","NA","NA","NA","NA","BDL","BDL","NA","NA","NA","NA","NA",NA
"MG",23546000,1999-03-30,NA,NA,NA,NA,NA,11.83,171,1.7,8.58,1,3.06,8.43,11,6,1.38,NA,0.32,NA,19.27,0.14,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",23605000,1999-04-06,NA,NA,NA,NA,NA,14.35,88,1.74,10.11,0.92,3.51,6.27,18,NA,0.97,NA,0.27,NA,24.63,0.17,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MG",24430000,1999-06-15,NA,NA,NA,NA,NA,11.34,76,1.87,8.98,1.29,3.21,8.74,17,8,1.81,NA,0.4,NA,20.7,0.31,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",24442000,1999-06-22,NA,NA,NA,NA,NA,11.79,NA,1.81,8.61,1.47,2.56,7.62,12,10,1.78,NA,0.48,NA,18.96,0.47,"NA","BDL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",24472000,1999-07-06,NA,NA,NA,NA,NA,11.21,54,1.56,8.5,0.93,2.95,7.65,10,NA,1.05,NA,0.2,NA,22.63,0.14,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MG",25355000,1999-07-27,NA,NA,NA,NA,NA,8.45,183,1.37,6.7,0.78,2.17,6.99,15,14,3.14,NA,0.36,NA,15.36,0.16,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",25367000,1999-08-03,NA,NA,NA,NA,NA,9.47,215,1.29,6.83,0.91,2.09,6.64,14,9,2.11,NA,0.25,NA,19.37,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BDL",NA
"MG",25380000,1999-08-10,NA,NA,NA,NA,NA,16.25,81,1.79,11.12,0.99,3.13,5.81,6,NA,0.86,NA,0.16,NA,22.23,0.08,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
